"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\site.php", "PHP", 0, 307, 0, 0, 0, 0, 19, 26, 352
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\payments.php", "PHP", 0, 42, 0, 0, 0, 0, 10, 7, 59
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\add-ons.php", "PHP", 0, 334, 0, 0, 0, 0, 100, 68, 502
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\add-trial-to-pricing.php", "PHP", 0, 15, 0, 0, 0, 0, 13, 3, 31
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\admin-notice.php", "PHP", 0, 56, 0, 0, 0, 0, 11, 10, 77
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\ajax-loader.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\auto-installation.php", "PHP", 0, 195, 0, 0, 0, 0, 15, 40, 250
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\checkout.php", "PHP", 0, 231, 0, 0, 0, 0, 58, 48, 337
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\connect.php", "PHP", 0, 744, 0, 0, 0, 0, 124, 158, 1026
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\contact.php", "PHP", 0, 73, 0, 0, 0, 0, 40, 15, 128
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug.php", "PHP", 0, 680, 0, 0, 0, 0, 26, 54, 760
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\api-calls.php", "PHP", 0, 122, 0, 0, 0, 0, 19, 14, 155
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\logger.php", "PHP", 0, 53, 0, 0, 0, 0, 9, 4, 66
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\plugins-themes-sync.php", "PHP", 0, 63, 0, 0, 0, 0, 8, 6, 77
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\scheduled-crons.php", "PHP", 0, 111, 0, 0, 0, 0, 13, 13, 137
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\email.php", "PHP", 0, 38, 0, 0, 0, 0, 9, 2, 49
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\firewall-issues-js.php", "PHP", 0, 39, 0, 0, 0, 0, 13, 7, 59
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\affiliation.php", "PHP", 0, 417, 0, 0, 0, 0, 23, 69, 509
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\data-debug-mode.php", "PHP", 0, 158, 0, 0, 0, 0, 20, 35, 213
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\contact.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\form.php", "PHP", 0, 396, 0, 0, 0, 0, 51, 97, 544
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\retry-skip.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\license-activation.php", "PHP", 0, 606, 0, 0, 0, 0, 118, 144, 868
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\optout.php", "PHP", 0, 260, 0, 0, 0, 0, 21, 56, 337
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\premium-versions-upgrade-handler.php", "PHP", 0, 149, 0, 0, 0, 0, 23, 33, 205
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\premium-versions-upgrade-metadata.php", "PHP", 0, 31, 0, 0, 0, 0, 9, 7, 47
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\resend-key.php", "PHP", 0, 185, 0, 0, 0, 0, 16, 47, 248
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\subscription-cancellation.php", "PHP", 0, 211, 0, 0, 0, 0, 19, 47, 277
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\trial-start.php", "PHP", 0, 128, 0, 0, 0, 0, 21, 33, 182
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\user-change.php", "PHP", 0, 215, 0, 0, 0, 0, 31, 51, 297
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\gdpr-optin-js.php", "PHP", 0, 50, 0, 0, 0, 0, 9, 7, 66
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\jquery.content-change.php", "PHP", 0, 36, 0, 0, 0, 0, 15, 7, 58
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\open-license-activation.php", "PHP", 0, 24, 0, 0, 0, 0, 9, 4, 37
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\style-premium-theme.php", "PHP", 0, 28, 0, 0, 0, 0, 14, 11, 53
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\partials\index.php", "PHP", 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\partials\network-activation.php", "PHP", 0, 81, 0, 0, 0, 0, 4, 4, 89
